train_years,train_months,test_months,SARIMA_RMSE,Prophet_RMSE,RF_MAPIE_RMSE
1,12,228,,255.16265922106672,
2,24,216,2.690014072627807,6.382916845712704,2.6789545451883106
3,36,204,6.80695016814531,4.462883994101749,2.6714901322787514
4,48,192,37.74155461232545,24.53694453530876,2.586727428423497
5,60,180,11.187134244149119,34.187358093299906,4.670149286764467
6,72,168,4.1675490223634695,19.488574004915055,4.594933281991445
7,84,156,2.7101252981468273,12.676816096785924,3.9263707359210773
8,96,144,3.2878695950992545,3.1129875927052155,3.3214300896267432
9,108,132,1.8437481655059769,3.4944449897865337,2.859027575889551
10,120,120,3.987988845974449,5.369309537571202,2.2364608139498716
11,132,108,2.407805696228789,5.303579356949563,1.9434992580204167
12,144,96,2.6168014567643674,4.250208268017787,1.9219087023061219
13,156,84,3.3247522348725056,3.0947528197067076,2.091918570868106
14,168,72,2.3703001386392875,3.2668532890727686,2.3602411543456006
15,180,60,2.6064046379911496,3.9947828059036268,2.6925339987949437
16,192,48,2.6690354062844506,1.7873471235119296,3.9232978629804145
17,204,36,0.26977356760397736,2.1341913502876078,1.8338696712446785
18,216,24,0.40824829046386296,0.5252740717051475,3.3578696748583594
19,228,12,0.2723355773061366,0.48831801356915233,0.359605056508763
